,Treatment,pred_sr,lower_sr,upper_sr,pred_abu,lower_abu,upper_abu,p_sr,p_abu,taxon
1,CONTROL,13.71428571,11.66466783,15.7639036,240.5933637,145.5685948,335.6181326,0,0.0001,woodies
2,LIGHT,9,6.950382111,11.04961789,150.292815,86.3487689,214.236861,0.0001,0.1397,woodies
3,MODERATE,8.142857143,6.093239254,10.19247503,65.95845617,33.99271269,97.92419965,0,0.0031,woodies
4,INTENSIVE,8.285714286,6.236096397,10.33533217,38.15262932,17.99060113,58.31465751,0,0.0007,woodies
5,CONTROL,37.71428571,29.67865993,45.7499115,293.6785714,210.5141868,376.8429561,0,0,herbs
6,LIGHT,28,20.19811616,35.80188384,234.9257143,151.7613296,318.0900989,0.1455,0.0926,herbs
7,MODERATE,24.71428571,21.61743054,27.81114089,180.3685714,97.20418679,263.5329561,0.0089,0.005,herbs
8,INTENSIVE,19.42857143,15.30633843,23.55080442,154.6385714,71.47418679,237.8029561,0.002,0.0005,herbs
9,CONTROL,18.32820286,15.4705883,21.18581742,2947.891528,2044.000535,3851.782522,0,0,flowers
10,LIGHT,18.90975359,15.95406465,21.86544254,3615.586238,2546.632294,4684.540181,0.6158,0.2162,flowers
11,MODERATE,17.01881536,14.32447401,19.71315671,4240.201891,2932.150259,5548.253523,0.1815,0.0613,flowers
12,INTENSIVE,14.87405381,12.31123818,17.43686943,4628.871464,3117.887641,6139.855287,0.0005,0.0387,flowers
13,CONTROL,12.74204167,11.625,14,52.0996875,40.4375,65.3765625,0.01,0.01,birds_early_lg
14,LIGHT,11.14920833,9.75,12.625,31.04269792,23.4984375,39.6875,0.1,0.01,birds_early_lg
15,MODERATE,10.03516667,8.625,11.5,15.66983333,11.75,20.125,0.01,0.01,birds_early_lg
16,INTENSIVE,9.633333333,8.25,11.125,11.794,8.625,15.625,0.01,0.01,birds_early_lg
17,CONTROL,30.83725,28.125,33.375,206.7192396,177.684375,238.940625,0.01,0.01,birds_early_ng
18,LIGHT,28.215,25.125,31.125,142.3474479,121.0625,166.5625,0.1,0.01,birds_early_ng
19,MODERATE,26.917625,24.125,29.628125,144.5978229,117.625,171.6890625,0.1,0.01,birds_early_ng
20,INTENSIVE,25.6535,22.75,28.75,121.7480313,99.25,144.628125,0.1,0.01,birds_early_ng
21,CONTROL,12.64258333,11.375,14,47.87418056,37.99791667,61.16666667,0.01,0.01,birds_mid_lg
22,LIGHT,11.65183333,10.25,13.125,38.16051389,30.58333333,47.41666667,0.1,0.1,birds_mid_lg
23,MODERATE,11.96545833,10.5,13.5,29.10679167,23.08333333,36.41875,0.1,0.01,birds_mid_lg
24,INTENSIVE,11.411625,9.75,13.125,24.85781944,19.33333333,31.58333333,0.1,0.01,birds_mid_lg
25,CONTROL,31.49304167,28.625,34.25,188.9734167,160.4958333,222,0.01,0.01,birds_mid_ng
26,LIGHT,31.321,28.375,34.125,164.1645556,140.3333333,192.8354167,0.1,0.1,birds_mid_ng
27,MODERATE,31.62429167,28.75,34.375,209.0107778,175.6666667,254.0041667,0.1,0.1,birds_mid_ng
28,INTENSIVE,30.03745833,26.75,33.375,172.8587361,142.9145833,214.75,0.1,0.1,birds_mid_ng
29,CONTROL,15.14285714,11.89215355,18.39356074,69.1428571,40.0167085,98.2690057,0,0.0002,pollinators
30,LIGHT,12.14285714,8.562656629,15.72305766,51.14285192,33.84897256,68.43673127,0.0738,0.3114,pollinators
31,MODERATE,9.428571429,6.405760777,12.45138208,59.71428365,37.10844464,82.32012267,0.0002,0.6223,pollinators
32,INTENSIVE,9.714285714,6.260033186,13.16853824,84.28570751,43.26934861,125.3020664,0.002,0.5625,pollinators
33,CONTROL,39.71428571,36.08618694,43.34238448,626.2857143,380.0520415,872.5193871,0,0.0001,arthropods
34,LIGHT,37.28571429,31.78447467,42.78695391,559.4285714,362.9759211,755.8812218,0.1455,0.6823,arthropods
35,MODERATE,35.14285714,32.36002175,37.92569254,662.4285714,386.9442457,937.9128972,0.0089,0.8501,arthropods
36,INTENSIVE,33.42857143,26.45354474,40.40359812,799.8571429,398.1594012,1201.554884,0.002,0.4795,arthropods
37,CONTROL,45.30029038,40.85826697,49.74231379,356.9256,216.6557,497.1954,0,0.0001,moths
38,LIGHT,44.86968977,40.39839304,49.3409865,370.7291,230.0096,511.4485,0.7784,0.1195,moths
39,MODERATE,39.08630502,34.03432411,44.13828592,407.6181,265.5261,549.7101,0.0041,0.2622,moths
40,INTENSIVE,41.30136752,36.51887361,46.08386143,324.8651,185.5223,464.208,0.032,0.6455,moths
41,CONTROL,NA,NA,NA,678.4286,1098.638,258.2191,1,0.0001,ungulates
42,LIGHT,NA,NA,NA,421.2857,548.7039,293.8675,1,0.2661,ungulates
43,MODERATE,NA,NA,NA,752.4286,1297.0161,207.8411,1,0.2622,ungulates
44,INTENSIVE,NA,NA,NA,414.1429,536.2194,292.0663,1,0.8354,ungulates
